Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Devices","No","","92247","Ongoing","Apothecary Products, LLC","11750 12th Ave S","","Burnsville","MN","	55337-1297","United States","Voluntary: Firm initiated","E-Mail","Worldwide - US Nationwide distribution in the states of AL, AR, AZ, CA, CO, FL, HI, IL, IN, MO, NC, NJ, NY, OK, OR, PA, TN, TX, UT, WA and the country of Canada. ","Z-1703-2023","Class II","Medicine Dropper, Product Code K508","1,596 units","Potential for glass dropper to have glass particulate on the outside surface of the dropper bulb.","03/30/2023","06/09/2023","","06/21/2023","Lot Number: 021623; UPC Number: 077602005085"
"Devices","No","","92251","Ongoing","Remote Diagnostic Technologies Ltd.","Farnborough Aerospace Centre","Aerospace Boulevard","Farnborough","","	","United Kingdom","Voluntary: Firm initiated","Letter","US Nationwide distribution in the states of UT, CO, CA, NE, IL, TX, WV, KS, GA. ","Z-1825-2023","Class II","Philips Tempus LS-Manual Defibrillator, Part Number: 00-3020","1147","Defibrillator/pacemaker module (DPM) may encounter a problem causing communication from the Mainboard  to the DPM to fail, leading to no or ineffective pacing with displayed error message ""HW failure DPM"".  ","05/08/2023","06/12/2023","","06/21/2023","UDI-DI: 07613365002737. Serial numbers prior to 7022.001634"
"Devices","No","","92301","Ongoing","Merit Medical Systems, Inc.","1600 W Merit Pkwy","","South Jordan","UT","	84095-2416","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution in the states of AK, AL, AR, AZ, CA, CO, CT, DC, 	DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, 	NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, Puerto Rico and the countries of France, United Kingdom, Mexico.","Z-1908-2023","Class II","Aspira Peritoneal Drainage Catheter Insertion Tray 15.5F, REF 4992206 Version A, Sterile EO, Rx Only","5 units","There is a potential that valve assemblies will not open. preventing fluid from draining.","04/22/2023","06/14/2023","","06/21/2023","Lot # I2605742; UDI-DI: 00884450398166"
"Devices","No","","92301","Ongoing","Merit Medical Systems, Inc.","1600 W Merit Pkwy","","South Jordan","UT","	84095-2416","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution in the states of AK, AL, AR, AZ, CA, CO, CT, DC, 	DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, 	NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, Puerto Rico and the countries of France, United Kingdom, Mexico.","Z-1909-2023","Class II","Aspira Peritoneal Drainage Catheter Insertion Tray 15.5F, REF 4992207 Version A, Sterile EO, Rx Only","27 units","There is a potential that valve assemblies will not open. preventing fluid from draining.","04/22/2023","06/14/2023","","06/21/2023","Lot # I2605742; UDI-DI: 00884450398166"
"Devices","No","","92301","Ongoing","Merit Medical Systems, Inc.","1600 W Merit Pkwy","","South Jordan","UT","	84095-2416","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution in the states of AK, AL, AR, AZ, CA, CO, CT, DC, 	DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, 	NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, Puerto Rico and the countries of France, United Kingdom, Mexico.","Z-1910-2023","Class II","Aspira Peritoneal Drainage Catheter Insertion Tray 15.5F, REF 4992208 Version A, Sterile EO, Rx Only","175 units","There is a potential that valve assemblies will not open. preventing fluid from draining.","04/22/2023","06/14/2023","","06/21/2023","Lot # I2538438, I2614180, I2623234/ UDI: 00884450394892"
"Devices","No","","92301","Ongoing","Merit Medical Systems, Inc.","1600 W Merit Pkwy","","South Jordan","UT","	84095-2416","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution in the states of AK, AL, AR, AZ, CA, CO, CT, DC, 	DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, 	NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, Puerto Rico and the countries of France, United Kingdom, Mexico.","Z-1911-2023","Class II","Aspira Peritoneal Drainage Catheter Insertion Tray 15.5F, REF 4992209 Version A, Sterile EO, Rx Only","670 units","There is a potential that valve assemblies will not open. preventing fluid from draining.","04/22/2023","06/14/2023","","06/21/2023","Lot # I2533611, I2546597, I2559292, I2548163  & I2578001; UDI-DI: 00884450394908"
"Devices","No","","92301","Ongoing","Merit Medical Systems, Inc.","1600 W Merit Pkwy","","South Jordan","UT","	84095-2416","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution in the states of AK, AL, AR, AZ, CA, CO, CT, DC, 	DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, 	NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, Puerto Rico and the countries of France, United Kingdom, Mexico.","Z-1912-2023","Class II","Aspira Pleural Drainage Catheter Insertion Tray 15.5F, REF 4992506, Version A, Sterile EO, Rx Only","156 units","There is a potential that valve assemblies will not open. preventing fluid from draining.","04/22/2023","06/14/2023","","06/21/2023","Lot # I2632727, I2558682, I2623159, I2618461 ; UDI-DI: 00884450398173"
"Devices","No","","92301","Ongoing","Merit Medical Systems, Inc.","1600 W Merit Pkwy","","South Jordan","UT","	84095-2416","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution in the states of AK, AL, AR, AZ, CA, CO, CT, DC, 	DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, 	NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, Puerto Rico and the countries of France, United Kingdom, Mexico.","Z-1913-2023","Class II","Aspira Pleural Drainage Catheter Insertion Tray 15.5F, REF 4992507, Version A, Sterile EO, Rx Only","524 units","There is a potential that valve assemblies will not open. preventing fluid from draining.","04/22/2023","06/14/2023","","06/21/2023","Lot # I2548172, I2568218, I2553914, I2614174, I2638785, I2559299; UDI-DI: 00884450394915"
"Devices","No","","92301","Ongoing","Merit Medical Systems, Inc.","1600 W Merit Pkwy","","South Jordan","UT","	84095-2416","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution in the states of AK, AL, AR, AZ, CA, CO, CT, DC, 	DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, 	NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, Puerto Rico and the countries of France, United Kingdom, Mexico.","Z-1914-2023","Class II","Aspira Pleural Drainage Catheter Insertion Tray 15.5F, REF 4992508, Version A, Sterile EO, Rx Only","436 units","There is a potential that valve assemblies will not open. preventing fluid from draining.","04/22/2023","06/14/2023","","06/21/2023","Lot # I2559297, I2564678, I2553915, I2614173, I2568219; UDI-DI: 00884450394939"
"Devices","No","","92301","Ongoing","Merit Medical Systems, Inc.","1600 W Merit Pkwy","","South Jordan","UT","	84095-2416","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution in the states of AK, AL, AR, AZ, CA, CO, CT, DC, 	DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, 	NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, Puerto Rico and the countries of France, United Kingdom, Mexico.","Z-1915-2023","Class II","Aspira Pleural Drainage Catheter Insertion Tray 15.5F, REF: 4992509, Version A, Sterile EO, Rx Only","1054 units","There is a potential that valve assemblies will not open. preventing fluid from draining.","04/22/2023","06/14/2023","","06/21/2023","Lot # I2614171, I2559314, I2546596, I2614170, I2538442, I2564679, I2548181, I2623231; UDI-DI: 00884450394946"
"Devices","No","","92301","Ongoing","Merit Medical Systems, Inc.","1600 W Merit Pkwy","","South Jordan","UT","	84095-2416","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution in the states of AK, AL, AR, AZ, CA, CO, CT, DC, 	DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, 	NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, Puerto Rico and the countries of France, United Kingdom, Mexico.","Z-1916-2023","Class II","Aspira Valve Repair Kit, REF: 4992306 Version A, Sterile EO, Rx Only","2559 units","There is a potential that valve assemblies will not open. preventing fluid from draining.","04/22/2023","06/14/2023","","06/21/2023","Lot # I2604364, I2604393, I2587036, I2564649, I2558681, I2604394, I2609065, I2623156, I2577984;  UDI-DI: 00884450394960"
"Devices","No","","92301","Ongoing","Merit Medical Systems, Inc.","1600 W Merit Pkwy","","South Jordan","UT","	84095-2416","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution in the states of AK, AL, AR, AZ, CA, CO, CT, DC, 	DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, 	NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, Puerto Rico and the countries of France, United Kingdom, Mexico.","Z-1917-2023","Class II","Aspira Drainage Catheter Insertion Tray 15.5F, REF: ASP-11, STERILE EO, Rx Only  *EU Distribution only","17 units","There is a potential that valve assemblies will not open. preventing fluid from draining.","04/22/2023","06/14/2023","","06/21/2023","Lot # I2587050;  UDI-DI: 00884450488447"
"Devices","No","","92301","Ongoing","Merit Medical Systems, Inc.","1600 W Merit Pkwy","","South Jordan","UT","	84095-2416","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution in the states of AK, AL, AR, AZ, CA, CO, CT, DC, 	DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, 	NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, Puerto Rico and the countries of France, United Kingdom, Mexico.","Z-1918-2023","Class II","Aspira Drainage Catheter Insertion Tray 15.5F, REF: ASP-11-5, STERILE EO, Rx Only    *EU Distribution only","7 units","There is a potential that valve assemblies will not open. preventing fluid from draining.","04/22/2023","06/14/2023","","06/21/2023","Lot # I2578012;  UDI-DI: 00884450488539"
"Devices","No","","92301","Ongoing","Merit Medical Systems, Inc.","1600 W Merit Pkwy","","South Jordan","UT","	84095-2416","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution in the states of AK, AL, AR, AZ, CA, CO, CT, DC, 	DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, 	NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, Puerto Rico and the countries of France, United Kingdom, Mexico.","Z-1919-2023","Class II","Aspira Drainage Catheter Insertion Tray 15.5F, REF: ASP-15, STERILE EO, Rx Only   *EU Distribution only","40 units","There is a potential that valve assemblies will not open. preventing fluid from draining.","04/22/2023","06/14/2023","","06/21/2023","Lot # I2587055;  UDI-DI: 00884450488416"
"Devices","No","","92301","Ongoing","Merit Medical Systems, Inc.","1600 W Merit Pkwy","","South Jordan","UT","	84095-2416","United States","Voluntary: Firm initiated","Letter","Worldwide - US Nationwide distribution in the states of AK, AL, AR, AZ, CA, CO, CT, DC, 	DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, 	NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, Puerto Rico and the countries of France, United Kingdom, Mexico.","Z-1920-2023","Class II","Aspira Drainage Catheter Insertion Tray 15.5F, REF: ASP-15-5, STERILE EO, Rx Only   *EU Distribution only","2 units","There is a potential that valve assemblies will not open. preventing fluid from draining.","04/22/2023","06/14/2023","","06/21/2023","Lot # I2559306;  UDI-DI: 00884450488492"
